ts,appid,name,players
2025-06-13T00:00:00Z,3159330,Assassin's Creed Shadows,2855
2025-06-13T00:00:00Z,3489700,Stellar Blade,176914
2025-06-14T00:00:00Z,1934570,South of Midnight,256
2025-06-14T00:00:00Z,3159330,Assassin's Creed Shadows,3614
2025-06-14T00:00:00Z,3489700,Stellar Blade,188576
2025-06-15T00:00:00Z,1934570,South of Midnight,288
2025-06-15T00:00:00Z,3159330,Assassin's Creed Shadows,3952
2025-06-15T00:00:00Z,3489700,Stellar Blade,192078
2025-06-16T00:00:00Z,1934570,South of Midnight,228
2025-06-16T00:00:00Z,2443720,Concord,1
2025-06-16T00:00:00Z,3159330,Assassin's Creed Shadows,2577
2025-06-16T00:00:00Z,3489700,Stellar Blade,170880
2025-06-17T00:00:00Z,1934570,South of Midnight,178
2025-06-17T00:00:00Z,3159330,Assassin's Creed Shadows,2519
2025-06-17T00:00:00Z,3489700,Stellar Blade,157793
2025-06-18T00:00:00Z,1934570,South of Midnight,150
2025-06-18T00:00:00Z,3159330,Assassin's Creed Shadows,2371
2025-06-18T00:00:00Z,3489700,Stellar Blade,138613
2025-06-19T00:00:00Z,1934570,South of Midnight,162
2025-06-19T00:00:00Z,3159330,Assassin's Creed Shadows,2697
2025-06-19T00:00:00Z,3489700,Stellar Blade,131243
2025-06-20T00:00:00Z,1934570,South of Midnight,140
2025-06-20T00:00:00Z,3159330,Assassin's Creed Shadows,2541
2025-06-20T00:00:00Z,3489700,Stellar Blade,117609
2025-06-21T00:00:00Z,1934570,South of Midnight,163
2025-06-21T00:00:00Z,3159330,Assassin's Creed Shadows,3180
2025-06-21T00:00:00Z,3489700,Stellar Blade,122563
2025-06-22T00:00:00Z,1934570,South of Midnight,208
2025-06-22T00:00:00Z,3159330,Assassin's Creed Shadows,3461
2025-06-22T00:00:00Z,3489700,Stellar Blade,119971
2025-06-23T00:00:00Z,1934570,South of Midnight,158
2025-06-23T00:00:00Z,3159330,Assassin's Creed Shadows,2357
2025-06-23T00:00:00Z,3489700,Stellar Blade,100465
2025-06-24T00:00:00Z,1934570,South of Midnight,121
2025-06-24T00:00:00Z,3159330,Assassin's Creed Shadows,2389
2025-06-24T00:00:00Z,3489700,Stellar Blade,93593
2025-06-25T00:00:00Z,1934570,South of Midnight,110
2025-06-25T00:00:00Z,2443720,Concord,1
2025-06-25T00:00:00Z,3159330,Assassin's Creed Shadows,2471
2025-06-25T00:00:00Z,3489700,Stellar Blade,83448
2025-06-26T00:00:00Z,1934570,South of Midnight,101
2025-06-26T00:00:00Z,2443720,Concord,1
2025-06-26T00:00:00Z,3159330,Assassin's Creed Shadows,2602
2025-06-26T00:00:00Z,3489700,Stellar Blade,74965
2025-06-27T00:00:00Z,1934570,South of Midnight,143
2025-06-27T00:00:00Z,2443720,Concord,1
2025-06-27T00:00:00Z,3159330,Assassin's Creed Shadows,3468
2025-06-27T00:00:00Z,3489700,Stellar Blade,71385
2025-06-28T00:00:00Z,1934570,South of Midnight,216
2025-06-28T00:00:00Z,3159330,Assassin's Creed Shadows,5053
2025-06-28T00:00:00Z,3489700,Stellar Blade,76970
2025-06-29T00:00:00Z,1934570,South of Midnight,252
2025-06-29T00:00:00Z,3159330,Assassin's Creed Shadows,5792
2025-06-29T00:00:00Z,3489700,Stellar Blade,74759
2025-06-30T00:00:00Z,1934570,South of Midnight,207
2025-06-30T00:00:00Z,3159330,Assassin's Creed Shadows,4651
